State,Area,Date
Western Australia,550000,2020-02 
Western Australia,550000,2020-01
Western Australia,550000,2019-12
Western Australia,550000,2019-11
Victoria,23895,2020-02 
Victoria,66108,2020-01
Victoria,454548,2019-12
Victoria,987239,2019-11
Tasmania,"14,000",2020-02 
Tasmania,"20,700",2020-01
Tasmania,"1,300",2019-12
Tasmania,0,2019-11
South Australia,"67,338",2020-02 
South Australia,"143,500",2020-01
South Australia,63000,2019-12
South Australia,"5,000",2019-11
Queensland,0,2020-02 
Queensland,"1,295,070",2020-01
Queensland,1168930,2019-12
Queensland,36000,2019-11
Northern Territory,1700000,2020-02 
Northern Territory,1700000,2020-01
Northern Territory,1700000,2019-12
Northern Territory,1700000,2019-11
New South Wales,"1,569,414",2020-02 
New South Wales,1136815,2020-01
New South Wales,1676956,2019-12
New South Wales,1136815,2019-11
Australian Capital Territory,"64,944",2020-02 
Australian Capital Territory,21520,2020-01
Australian Capital Territory,0,2019-12
Australian Capital Territory,0,2019-11
